"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-15","0.00","0.0","0.0",,"85","55"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-16","0.00","0.0","0.0",,"74","56"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-17","0.00","0.0","0.0",,"78","41"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-18","0.00","0.0","0.0",,"88","49"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-19","0.00","0.0","0.0",,"88","61"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-20","0.00","0.0","0.0",,"93","56"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-21","0.00","0.0","0.0",,"91","62"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-22","0.00","0.0","0.0",,"72","48"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-23","0.00","0.0","0.0",,"60","42"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-24","0.00","0.0","0.0",,"62","39"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-25","0.00","0.0","0.0",,"68","37"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-26","0.00","0.0","0.0",,"72","50"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-27","0.10","0.0","0.0",,"65","48"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-28","0.00","0.0","0.0",,"68","46"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-29","0.00","0.0","0.0",,"75","50"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-04-30","0.00","0.0","0.0",,"77","54"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-01","0.00","0.0","0.0",,"82","50"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-02","0.00","0.0","0.0",,"81","63"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-05-03","0.00","0.0","0.0",,"80","52"
